,report_date,report_source,ext_massacres_cum,killed,killed_cum,ext_killed,ext_killed_cum,ext_killed_children_cum,ext_killed_women_cum,injured_cum,ext_injured,ext_injured_cum,ext_civdef_killed_cum,med_killed_cum,ext_med_killed_cum,press_killed_cum,ext_press_killed_cum,killed_children_cum,killed_women_cum,injured,massacres_cum,civdef_killed_cum
84,2023-12-30,mohtel,1813,165.0,21672.0,165,21672,9000,6450,56165.0,250,56165,40,312.0,312,106.0,106,9000.0,6450.0,250.0,1813.0,40.0
85,2023-12-31,mohtel,1825,150.0,21822.0,150,21822,9100,6500,56451.0,286,56451,40,312.0,312,106.0,106,9100.0,6500.0,286.0,1825.0,40.0
86,2024-01-01,mohtel,1838,156.0,21978.0,156,21978,9280,6600,56697.0,246,56697,40,326.0,326,106.0,106,9280.0,6600.0,246.0,1838.0,40.0
87,2024-01-02,mohtel,1853,207.0,22185.0,207,22185,9280,6600,57035.0,338,57035,40,,326,,106,,,338.0,,
88,2024-01-03,mohtel,1863,128.0,22313.0,128,22313,9400,6700,57296.0,261,57296,40,,326,,106,,,261.0,,
89,2024-01-04,mohtel,1876,125.0,22438.0,125,22438,9730,6830,57614.0,318,57614,40,326.0,326,,106,9730.0,6830.0,318.0,,
90,2024-01-05,mohtel,1891,162.0,22600.0,162,22600,9730,6830,57910.0,296,57910,40,,326,,106,,,296.0,,
91,2024-01-06,mohtel,1903,122.0,22722.0,122,22722,10000,7000,58166.0,256,58166,40,,326,,106,10000.0,7000.0,256.0,,
92,2024-01-07,mohtel,1915,113.0,22835.0,113,22835,10000,7000,58416.0,250,58416,40,,326,,106,10000.0,7000.0,250.0,,
93,2024-01-08,mohtel,1932,249.0,23084.0,249,23084,10000,7000,58926.0,510,58926,40,,326,,106,,,510.0,,
94,2024-01-09,mohtel,1944,126.0,23210.0,126,23210,10000,7000,59167.0,241,59167,40,,326,,106,10000.0,7000.0,241.0,,
95,2024-01-10,mohtel,1958,147.0,23357.0,147,23357,10000,7000,59410.0,243,59410,40,,326,,106,,,243.0,,
96,2024-01-11,mohtel,1968,112.0,23469.0,112,23469,10300,7100,59604.0,194,59604,40,337.0,337,,106,10300.0,7100.0,194.0,1968.0,
97,2024-01-12,mohtel,1981,151.0,23708.0,239,23708,10300,7100,60005.0,401,60005,40,,337,,106,,,248.0,,
98,2024-01-13,mohtel,1993,135.0,23843.0,135,23843,10400,7100,60317.0,312,60317,45,337.0,337,117.0,117,10400.0,7100.0,312.0,1993.0,45.0
99,2024-01-14,mohtel,2004,125.0,23968.0,125,23968,10600,7200,60582.0,265,60582,45,337.0,337,,117,10600.0,7200.0,265.0,2000.0,45.0
100,2024-01-15,mohtel,2016,132.0,24100.0,132,24100,10600,7200,60834.0,252,60834,45,,337,118.0,118,,,252.0,,
101,2024-01-16,mohtel,2031,158.0,24285.0,185,24285,10600,7200,61154.0,320,61154,45,,337,,118,,,320.0,,
102,2024-01-17,mohtel,2031,163.0,24448.0,163,24448,10600,7200,61504.0,350,61504,45,,337,,118,,,350.0,,
103,2024-01-18,mohtel,2046,172.0,24620.0,172,24620,10800,7250,61830.0,326,61830,45,337.0,337,119.0,119,10800.0,7250.0,326.0,,45.0
104,2024-01-19,mohtel,2058,142.0,24762.0,142,24762,10800,7250,62108.0,278,62108,45,,337,119.0,119,,,278.0,,
105,2024-01-20,mohtel,2072,165.0,24927.0,165,24927,10800,7250,62388.0,280,62388,45,,337,,119,,,280.0,,
106,2024-01-21,mohtel,2087,178.0,25105.0,178,25105,10800,7250,62681.0,293,62681,45,,337,,119,,,293.0,,
107,2024-01-22,mohtel,2119,190.0,25295.0,190,25295,11000,7500,63000.0,319,63000,45,337.0,337,119.0,119,11000.0,7500.0,340.0,2119.0,45.0
108,2024-01-23,mohtel,2141,195.0,25490.0,195,25490,11000,7500,63354.0,354,63354,45,,337,,119,,,354.0,,
109,2024-01-24,mohtel,2165,210.0,25700.0,210,25700,11000,7500,63740.0,386,63740,45,,337,,119,,,386.0,,
